entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,net_cashflow_exit,return_pct,exit_reason
2024-12-23,2025-02-14,1080.54,1059.47,924,-19468.679999999942,974618.425011,-0.01949950950450695,trend_break
2025-02-18,2025-02-20,1100.55,1079.46,884,-18643.55999999993,950020.116318,-0.01916314569987726,trend_break
2025-08-21,2025-11-21,1150.575,1384.3075000000001,824,192595.58000000007,1135621.9179935001,0.2031440801338462,trend_break
2025-11-26,2025-12-01,1440.72,1409.295,787,-24731.474999999966,1104207.330394875,-0.02181201066133597,trend_break
