code,sector,name
00654R,Unknown,富邦印度反1
00655L,Unknown,國泰中國A50正2
00656R,Unknown,國泰中國A50反1
00657,ETF,國泰日經225
00657K,Unknown,國泰日經225+U
00660,ETF,元大歐洲50
00661,ETF,元大日經225
00662,ETF,富邦NASDAQ
00663L,Unknown,國泰臺灣加權正2
00664R,Unknown,國泰臺灣加權反1
00665L,Unknown,富邦琤肭磪囓2
00666R,Unknown,富邦琤肭磪齯1
00668,ETF,國泰美國道瓊
00668K,Unknown,國泰美國道瓊+U
00669R,Unknown,國泰美國道瓊反1
00670L,Unknown,富邦NASDAQ正2
00671R,Unknown,富邦NASDAQ反1
00673R,Unknown,期元大S&P原油反1
00674R,Unknown,期元大S&P黃金反1
00675L,Unknown,富邦臺灣加權正2
00676R,Unknown,富邦臺灣加權反1
00678,ETF,群益那斯達克生技
00680L,Unknown,元大美債20正2
00681R,Unknown,元大美債20反1
00682U,Unknown,期元大美元指數
00683L,Unknown,期元大美元指正2
00684R,Unknown,期元大美元指反1
00685L,Unknown,群益臺灣加權正2
00686R,Unknown,群益臺灣加權反1
00688L,Unknown,國泰20年美債正2
00689R,Unknown,國泰20年美債反1
00690,ETF,兆豐藍籌30
00692,ETF,富邦公司治理
00693U,Unknown,期街口S&P黃豆
00700,ETF,富邦琤肭磪
00701,ETF,國泰股利精選30
00702,ETF,國泰標普低波高息
00703,ETF,台新MSCI中國
00706L,Unknown,期元大S&P日圓正2
00707R,Unknown,期元大S&P日圓反1
00708L,Unknown,期元大S&P黃金正2
00709,ETF,富邦歐洲
00710B,Unknown,復華彭博非投等債
00711B,Unknown,復華彭博新興債
00712,ETF,復華富時不動產
00713,ETF,元大台灣高息低波
00714,ETF,群益道瓊美國地產
00715L,Unknown,期街口S&P布蘭特油正2
00717,ETF,富邦美國特別股
00728,ETF,第一金工業30
00730,ETF,富邦臺灣優質高息
00731,ETF,復華富時高息低波
00733,ETF,富邦臺灣中小
00735,ETF,國泰臺韓科技
00736,ETF,國泰新興市場
00737,ETF,國泰AI機器人
00738U,Unknown,期元大道瓊白銀
00739,ETF,元大MSCI A股
00752,ETF,中信中國50
00753L,Unknown,中信中國50正2
00757,ETF,統一FANG+
00762,ETF,元大全球AI
00763U,Unknown,期街口道瓊銅
00770,ETF,國泰北美科技
00771,ETF,元大US高息特別股
00775B,Unknown,新光投等債15+
00783,ETF,富邦中証500
00830,ETF,國泰費城半導體
00850,ETF,元大臺灣ESG永續
00851,ETF,台新全球AI
00852L,Unknown,國泰美國道瓊正2
00861,ETF,元大全球未來通訊
00865B,Unknown,國泰US短期公債
00875,ETF,國泰網路資安
00876,ETF,元大全球5G
00878,ETF,國泰永續高股息
00881,ETF,國泰台灣科技龍頭
00882,ETF,中信中國高股息
00885,ETF,富邦越南
00891,ETF,中信關鍵半導體
00892,ETF,富邦台灣半導體
00893,ETF,國泰智能電動車
00894,ETF,中信小資高價30
00895,ETF,富邦未來車
00896,ETF,中信綠能及電動車
00897,ETF,富邦基因免疫生技
00898,ETF,國泰基因免疫革命
00899,ETF,FT潔淨能源
00900,ETF,富邦特選高股息30
00901,ETF,永豐智能車供應鏈
00902,ETF,中信電池及儲能
00903,ETF,富邦元宇宙
00904,ETF,新光臺灣半導體30
00905,ETF,FT臺灣SMART
00907,ETF,永豐優息存股
00908,ETF,富邦入息REITs+
00909,ETF,國泰數位支付服務
00910,ETF,第一金太空衛星
00911,ETF,兆豐洲際半導體
00912,ETF,中信臺灣智慧50
00913,ETF,兆豐台灣晶圓製造
00915,ETF,凱基優選高股息30
00916,ETF,國泰全球品牌50
00917,ETF,中信特選金融
00918,ETF,大華優利高填息30
00919,ETF,群益台灣精選高息
00920,ETF,富邦ESG綠色電力
00921,ETF,兆豐龍頭等權重
00922,ETF,國泰台灣領袖50
00923,ETF,群益台ESG低碳50
00924,ETF,復華S&P500成長
00926,ETF,凱基全球菁英55
00927,ETF,群益半導體收益
00929,ETF,復華台灣科技優息
00930,ETF,永豐ESG低碳高息
00932,ETF,兆豐永續高息等權
00934,ETF,中信成長高股息
00935,ETF,野村臺灣新科技50
00936,ETF,台新永續高息中小
00938,ETF,凱基優選30
00939,ETF,統一台灣高息動能
00940,ETF,元大台灣價值高息
00941,ETF,中信上游半導體
