"date","code","score","allocation","capital"
"2025-12-26","2454","77","88168","300000"
"2025-12-26","2603","53","60687","300000"
"2025-12-26","2609","54","61832","300000"
"2025-12-29","2317","51","42265","300000"
"2025-12-29","2330","78","64641","300000"
"2025-12-29","2454","76","62983","300000"
"2025-12-29","2603","53","43923","300000"
"2025-12-29","2609","54","44751","300000"
"2025-12-29","2615","50","41436","300000"
"2025-12-30","2317","51","45536","300000"
"2025-12-30","2330","79","70536","300000"
"2025-12-30","2454","74","66071","300000"
"2025-12-30","2603","78","69643","300000"
"2025-12-30","2609","54","48214","300000"
"2025-12-31","2317","52","46154","300000"
"2025-12-31","2330","79","70118","300000"
"2025-12-31","2454","76","67456","300000"
"2025-12-31","2603","77","68343","300000"
"2025-12-31","2609","54","47929","300000"
"2026-01-02","2317","51","45000","300000"
"2026-01-02","2330","80","70588","300000"
"2026-01-02","2454","77","67941","300000"
"2026-01-02","2603","78","68824","300000"
"2026-01-02","2609","54","47647","300000"
"2026-01-05","2317","51","44868","300000"
"2026-01-05","2330","83","73021","300000"
"2026-01-05","2454","79","69501","300000"
"2026-01-05","2603","76","66862","300000"
"2026-01-05","2609","52","45748","300000"
"2026-01-06","2317","51","44737","300000"
"2026-01-06","2330","83","72807","300000"
"2026-01-06","2454","77","67544","300000"
"2026-01-06","2603","77","67544","300000"
"2026-01-06","2609","54","47368","300000"
"2026-01-07","2317","51","38734","300000"
"2026-01-07","2330","81","61519","300000"
"2026-01-07","2454","77","58481","300000"
"2026-01-07","2603","79","60000","300000"
"2026-01-07","2609","56","42532","300000"
"2026-01-07","2615","51","38734","300000"
"2026-01-08","2330","82","66848","300000"
"2026-01-08","2454","76","61957","300000"
"2026-01-08","2603","79","64402","300000"
"2026-01-08","2609","81","66033","300000"
"2026-01-08","2615","50","40761","300000"
"2026-01-09","2330","81","66575","300000"
"2026-01-09","2454","74","60822","300000"
"2026-01-09","2603","79","64932","300000"
"2026-01-09","2609","81","66575","300000"
"2026-01-09","2615","50","41096","300000"
"2026-01-12","2317","51","36429","300000"
"2026-01-12","2330","82","58571","300000"
"2026-01-12","2454","77","55000","300000"
"2026-01-12","2603","79","56429","300000"
"2026-01-12","2609","80","57143","300000"
"2026-01-12","2615","51","36429","300000"
"2026-01-13","2317","50","35800","300000"
"2026-01-13","2330","83","59427","300000"
"2026-01-13","2454","78","55847","300000"
"2026-01-13","2603","78","55847","300000"
"2026-01-13","2609","80","57279","300000"
"2026-01-13","2615","50","35800","300000"
"2026-01-14","2317","53","37678","300000"
"2026-01-14","2330","84","59716","300000"
"2026-01-14","2454","78","55450","300000"
"2026-01-14","2603","78","55450","300000"
"2026-01-14","2609","79","56161","300000"
"2026-01-14","2615","50","35545","300000"
"2026-01-15","2317","54","38389","300000"
"2026-01-15","2330","84","59716","300000"
"2026-01-15","2454","77","54739","300000"
"2026-01-15","2603","78","55450","300000"
"2026-01-15","2609","79","56161","300000"
"2026-01-15","2615","50","35545","300000"
"2026-01-16","2317","54","43432","300000"
"2026-01-16","2330","86","69169","300000"
"2026-01-16","2454","78","62735","300000"
"2026-01-16","2603","77","61930","300000"
"2026-01-16","2609","78","62735","300000"
"2026-01-19","2317","53","37767","300000"
"2026-01-19","2330","87","61995","300000"
"2026-01-19","2454","77","54869","300000"
"2026-01-19","2603","76","54157","300000"
"2026-01-19","2609","78","55582","300000"
"2026-01-19","2615","50","35629","300000"
"2026-01-20","2317","50","40650","300000"
"2026-01-20","2330","87","70732","300000"
"2026-01-20","2454","78","63415","300000"
"2026-01-20","2603","76","61789","300000"
"2026-01-20","2609","78","63415","300000"
"2026-01-21","2330","84","80255","300000"
"2026-01-21","2454","77","73567","300000"
"2026-01-21","2603","76","72611","300000"
"2026-01-21","2609","77","73567","300000"
"2026-01-22","2317","50","40872","300000"
"2026-01-22","2330","84","68665","300000"
"2026-01-22","2454","78","63760","300000"
"2026-01-22","2603","77","62943","300000"
"2026-01-22","2609","78","63760","300000"
"2026-01-23","2330","84","79495","300000"
"2026-01-23","2454","84","79495","300000"
"2026-01-23","2603","75","70978","300000"
"2026-01-23","2609","74","70032","300000"
"2026-01-26","2317","50","40650","300000"
"2026-01-26","2330","83","67480","300000"
"2026-01-26","2454","89","72358","300000"
"2026-01-26","2603","74","60163","300000"
"2026-01-26","2609","73","59350","300000"
"2026-01-27","2330","83","78549","300000"
"2026-01-27","2454","87","82334","300000"
"2026-01-27","2603","74","70032","300000"
"2026-01-27","2609","73","69085","300000"
"2026-01-28","2330","85","79193","300000"
"2026-01-28","2454","88","81988","300000"
"2026-01-28","2603","75","69876","300000"
"2026-01-28","2609","74","68944","300000"
"2026-01-29","2330","83","78056","300000"
"2026-01-29","2454","87","81818","300000"
"2026-01-29","2603","75","70533","300000"
"2026-01-29","2609","74","69592","300000"
"2026-01-30","2330","81","77885","300000"
"2026-01-30","2454","85","81731","300000"
"2026-01-30","2603","73","70192","300000"
"2026-01-30","2609","73","70192","300000"
"2026-02-02","2330","78","76721","300000"
"2026-02-02","2454","81","79672","300000"
"2026-02-02","2603","73","71803","300000"
"2026-02-02","2609","73","71803","300000"
"2026-02-03","2330","78","75728","300000"
"2026-02-03","2454","85","82524","300000"
"2026-02-03","2603","74","71845","300000"
"2026-02-03","2609","72","69903","300000"
"2026-02-04","2330","78","76221","300000"
"2026-02-04","2454","85","83062","300000"
"2026-02-04","2603","73","71336","300000"
"2026-02-04","2609","71","69381","300000"
