code,name,market,industry,isin,list_date
6417,韋僑,TPEx,通信網路業,TW0006417009,2015/10/08
6418,詠昇,TPEx,電子零組件業,TW0006418007,2019/02/18
6419,京晨科,TPEx,光電業,TW0006419005,2014/12/29
6423,億而得,TPEx,半導體業,TW0006423007,2026/01/22
6425,易發,TPEx,電機機械,TW0006425002,2019/01/18
6432,今展科,TPEx,電子零組件業,TW0006432008,2015/05/20
6435,大中,TPEx,半導體業,TW0006435001,2016/01/07
6441,廣錠,TPEx,電腦及週邊設備業,TW0006441009,2017/09/27
6461,益得,TPEx,生技醫療業,TW0006461007,2018/03/28
6462,神盾,TPEx,半導體業,TW0006462005,2015/12/23
6465,威潤,TPEx,通信網路業,TW0006465008,2015/11/20
6469,大樹,TPEx,生技醫療業,TW0006469000,2016/03/30
6470,宇智,TPEx,通信網路業,TW0006470008,2015/11/03
6474,華豫寧,TPEx,電子通路業,TW0006474000,2025/11/25
6482,弘煜科,TPEx,文化創意業,TW0006482003,2016/06/13
6485,點序,TPEx,半導體業,TW0006485006,2015/11/17
6486,互動,TPEx,通信網路業,TW0006486004,2016/09/13
6488,環球晶,TPEx,半導體業,TW0006488000,2015/09/25
6492,生華科,TPEx,生技醫療業,TW0006492002,2017/04/24
6494,九齊,TPEx,半導體業,TW0006494008,2016/05/09
6496,科懋,TPEx,生技醫療業,TW0006496003,2016/01/07
6498,久禾光,TPEx,光電業,TW0006498009,2025/05/20
6499,益安,TPEx,生技醫療業,TW0006499007,2016/07/27
6506,雙邦,TPEx,紡織纖維,TW0006506009,2011/05/03
6508,惠光,TPEx,農業科技業,TW0006508005,2004/03/22
6509,聚和,TPEx,化學工業,TW0006509003,2004/04/12
6510,精測,TPEx,半導體業,TW0006510001,2016/03/24
6512,啟發電,TPEx,其他電子業,TW0006512007,2016/03/25
6516,勤崴國際,TPEx,資訊服務業,TW0006516008,2019/05/06
6517,保勝光學,TPEx,光電業,TW0006517006,2022/12/15
6523,達爾膚,TPEx,生技醫療業,TW0006523004,2016/06/16
6527,明達醫,TPEx,生技醫療業,TW0006527005,2019/12/25
6530,創威,TPEx,通信網路業,TW0006530009,2018/01/23
6532,瑞耘,TPEx,半導體業,TW0006532005,2016/09/26
6535,順藥,TPEx,生技醫療業,TW0006535008,2016/09/26
6538,倉和,TPEx,電子零組件業,TW0006538002,2016/10/21
6542,隆中,TPEx,文化創意業,TW0006542004,2016/09/08
6546,正基,TPEx,通信網路業,TW0006546005,2022/05/24
6547,高端疫苗,TPEx,生技醫療業,TW0006547003,2018/04/17
6548,長科*,TPEx,半導體業,TW0006548001,2016/09/13
6556,勝品,TPEx,光電業,TW0006556004,2017/10/31
6560,欣普羅,TPEx,光電業,TW0006560006,2017/01/24
6561,是方,TPEx,通信網路業,TW0006561004,2018/06/05
6568,宏觀,TPEx,半導體業,TW0006568009,2016/12/28
6569,醫揚,TPEx,生技醫療業,TW0006569007,2016/12/21
6570,維田,TPEx,電腦及週邊設備業,TW0006570005,2017/12/11
6574,霈方,TPEx,生技醫療業,TW0006574007,2017/09/04
6576,逸達,TPEx,生技醫療業,TW0006576002,2018/06/29
6577,勁豐,TPEx,電腦及週邊設備業,TW0006577000,2017/03/21
6578,達邦蛋白,TPEx,農業科技業,TW0006578008,2018/09/18
6584,南俊國際,TPEx,電子零組件業,TW0006584006,2023/05/18
6588,東典光電,TPEx,通信網路業,TW0006588007,2020/07/01
6590,普鴻,TPEx,資訊服務業,TW0006590003,2018/12/24
6593,台灣銘板,TPEx,資訊服務業,TW0006593007,2017/11/03
6596,寬宏藝術,TPEx,文化創意業,TW0006596000,2018/01/04
6597,立誠,TPEx,電子零組件業,TW0006597008,2025/05/08
6603,富強鑫,TPEx,電機機械,TW0006603004,2004/04/05
6609,瀧澤科,TPEx,電機機械,TW0006609001,2003/09/23
6612,奈米醫材,TPEx,生技醫療業,TW0006612005,2018/07/18
6613,朋億*,TPEx,其他電子業,TW0006613003,2017/12/28
6615,慧智,TPEx,生技醫療業,TW0006615008,2018/01/22
6616,特昇-KY,TPEx,居家生活,KYG870931030,2018/01/10
6617,共信-KY,TPEx,生技醫療業,KYG409471060,2024/06/18
6620,漢達,TPEx,生技醫療業,TW0006620008,2025/12/23
6624,萬年清,TPEx,綠能環保,TW0006624000,2019/05/28
6629,泰金-KY,TPEx,居家生活,KYG877791072,2019/06/06
6637,醫影,TPEx,生技醫療業,TW0006637002,2024/06/18
6640,均華,TPEx,半導體業,TW0006640006,2018/10/23
6642,富致,TPEx,電子零組件業,TW0006642002,2019/09/23
6643,M31,TPEx,半導體業,TW0006643000,2019/01/23
6649,台生材,TPEx,生技醫療業,TW0006649007,2019/06/05
6651,全宇昕,TPEx,半導體業,TW0006651003,2021/02/01
6654,天正國際,TPEx,其他電子業,TW0006654007,2018/10/23
6661,威健生技,TPEx,生技醫療業,TW0006661002,2021/01/27
6662,樂斯科,TPEx,生技醫療業,TW0006662000,2019/03/26
6664,群翊,TPEx,電子零組件業,TW0006664006,2018/09/12
6667,信紘科,TPEx,其他電子業,TW0006667009,2018/11/13
6679,鈺太,TPEx,半導體業,TW0006679004,2019/05/09
6680,鑫創電子,TPEx,電腦及週邊設備業,TW0006680002,2019/09/16
6683,雍智科技,TPEx,半導體業,TW0006683006,2019/04/23
6684,安格,TPEx,半導體業,TW0006684004,2021/08/11
6690,安碁資訊,TPEx,數位雲端,TW0006690001,2019/10/30
6692,進能服,TPEx,綠能環保,TW0006692007,2024/02/02
6693,廣閎科,TPEx,半導體業,TW0006693005,2022/03/01
6697,東捷資訊,TPEx,資訊服務業,TW0006697006,2019/12/26
6703,軒郁,TPEx,生技醫療業,TW0006703002,2020/10/20
6708,天擎,TPEx,半導體業,TW0006708001,2022/12/29
6712,長聖,TPEx,生技醫療業,TW0006712003,2021/01/08
6716,應廣,TPEx,半導體業,TW0006716004,2020/03/27
6720,久昌,TPEx,半導體業,TW0006720006,2024/12/04
6721,信實,TPEx,其他業,TW0006721004,2022/04/29
6725,矽科宏晟,TPEx,其他電子業,TW0006725005,2025/12/30
6727,亞泰金屬,TPEx,電子零組件業,TW0006727001,2020/12/01
6728,上洋,TPEx,居家生活,TW0006728009,2020/12/25
6730,常廣,TPEx,生技醫療業,TW0006730005,2025/12/10
6732,昇佳電子,TPEx,半導體業,TW0006732001,2020/06/08
6733,博晟生醫,TPEx,生技醫療業,TW0006733009,2021/01/28
6735,美達科技,TPEx,其他電子業,TW0006735004,2022/04/29
6739,竹陞科技,TPEx,其他電子業,TW0006739006,2024/09/02
6741,91APP*-KY,TPEx,數位雲端,KYG6525T1022,2021/05/25
6751,智聯服務,TPEx,資訊服務業,TW0006751001,2020/12/25
6752,叡揚,TPEx,資訊服務業,TW0006752009,2020/12/10
6761,穩得,TPEx,電子零組件業,TW0006761000,2021/11/08
6762,達亞,TPEx,生技醫療業,TW0006762008,2020/12/18
6763,綠界科技*,TPEx,數位雲端,TW0006763006,2022/03/15
6767,台微醫,TPEx,生技醫療業,TW0006767007,2021/01/25
6785,昱展新藥,TPEx,生技醫療業,TW0006785009,2024/01/24
6788,華景電,TPEx,半導體業,TW0006788003,2021/09/29
6791,虎門科技,TPEx,資訊服務業,TW0006791007,2022/11/14
6803,崑鼎,TPEx,綠能環保,TW0006803000,2010/05/27
6804,明係,TPEx,運動休閒,TW0006804008,2022/03/31
6811,宏碁資訊,TPEx,數位雲端,TW0006811003,2022/08/09
6821,聯寶,TPEx,電子零組件業,TW0006821002,2023/05/22
6823,濾能,TPEx,半導體業,TW0006823008,2022/06/30
6829,千附精密,TPEx,半導體業,TW0006829005,2022/03/11
6840,東研信超,TPEx,其他電子業,TW0006840002,2023/03/24
6841,長佳智能,TPEx,生技醫療業,TW0006841000,2023/03/01
6843,進典,TPEx,電機機械,TW0006843006,2022/11/21
6844,諾貝兒,TPEx,生技醫療業,TW0006844004,2024/03/08
6846,綠茵,TPEx,食品工業,TW0006846009,2023/05/15
6855,數泓科,TPEx,其他電子業,TW0006855000,2022/10/06
6856,鑫傳,TPEx,文化創意業,TW0006856008,2023/10/27
6859,伯特光,TPEx,光電業,TW0006859002,2022/11/28
6865,偉康科技,TPEx,數位雲端,TW0006865009,2023/01/11
6870,騰雲,TPEx,數位雲端,TW0006870009,2023/09/14
6872,浩宇生醫,TPEx,生技醫療業,TW0006872005,2025/03/07
6874,倍力,TPEx,資訊服務業,TW0006874001,2022/12/14
6875,國邑*,TPEx,生技醫療業,TW0006875008,2024/03/26
6877,鏵友益,TPEx,其他電子業,TW0006877004,2023/06/16
6881,潤德,TPEx,其他業,TW0006881006,2024/05/21
6884,海柏特,TPEx,資訊服務業,TW0006884000,2025/12/17
6894,衛司特,TPEx,綠能環保,TW0006894009,2023/11/29
6895,宏碩系統,TPEx,半導體業,TW0006895006,2023/08/22
6899,創為精密,TPEx,光電業,TW0006899008,2024/04/08
6903,巨漢,TPEx,其他電子業,TW0006903008,2024/06/12
6904,伯鑫,TPEx,其他業,TW0006904006,2023/12/05
6907,雅特力-KY,TPEx,半導體業,KYG0511A1022,2026/01/29
6910,德鴻,TPEx,數位雲端,TW0006910003,2025/12/11
6913,鴻呈,TPEx,電子零組件業,TW0006913007,2024/10/01
6922,宸曜,TPEx,電腦及週邊設備業,TW0006922008,2023/11/09
6925,意藍,TPEx,數位雲端,TW0006925001,2025/05/28
6929,佑全,TPEx,生技醫療業,TW0006929003,2024/03/28
6953,家碩,TPEx,半導體業,TW0006953003,2024/05/13
6961,旅天下,TPEx,觀光餐旅,TW0006961006,2026/01/22
6967,汎瑋材料,TPEx,電子零組件業,TW0006967003,2024/09/25
6968,萬達寵物,TPEx,居家生活,TW0006968001,2024/08/14
6971,惠民實業,TPEx,綠能環保,TW0006971005,2025/10/02
6982,大井泵浦,TPEx,電機機械,TW0006982002,2024/12/18
6996,力領科技,TPEx,半導體業,TW0006996002,2024/12/10
6997,博弘,TPEx,數位雲端,TW0006997000,2024/12/16
7402,邑錡,TPEx,光電業,TW0007402000,2015/12/29
7547,碩網,TPEx,數位雲端,TW0007547B12,2025/07/29
7556,意德士,TPEx,半導體業,TW0007556B10,2020/10/30
7584,樂意,TPEx,文化創意業,TW0007584B16,2024/07/25
7642,昶瑞機電,TPEx,電機機械,TW0007642B16,2025/05/22
7703,銳澤,TPEx,其他電子業,TW0007703001,2024/11/13
7704,明遠精密,TPEx,半導體業,TW0007704009,2024/12/16
7708,全家餐飲,TPEx,觀光餐旅,TW0007708000,2024/11/15
7709,榮田,TPEx,電機機械,TW0007709008,2025/02/25
7712,博盛半導體,TPEx,半導體業,TW0007712002,2024/12/26
7713,威力德生醫,TPEx,生技醫療業,TW0007713000,2025/02/24
7714,創泓科技,TPEx,數位雲端,TW0007714008,2025/01/15
7715,裕山,TPEx,綠能環保,TW0007715005,2025/01/15
7716,昱臺國際,TPEx,航運業,TW0007716003,2025/10/28
7717,萊德光電-KY,TPEx,通信網路業,KYG5486D1060,2025/11/17
7718,友鋮,TPEx,鋼鐵工業,TW0007718009,2025/03/18
7723,築間,TPEx,觀光餐旅,TW0007723009,2025/04/30
7728,光焱科技,TPEx,其他電子業,TW0007728008,2025/03/06
7734,印能科技,TPEx,半導體業,TW0007734006,2025/02/26
7738,東聯互動,TPEx,數位雲端,TW0007738007,2025/10/16
7743,金利食安,TPEx,食品工業,TW0007743007,2025/05/20
7744,崴寶,TPEx,電子零組件業,TW0007744005,2025/11/27
7747,昕奇雲端,TPEx,數位雲端,TW0007747008,2025/07/11
7751,竑騰,TPEx,半導體業,TW0007751000,2025/08/26
7753,星亞,TPEx,光電業,TW0007753006,2025/08/11
7757,金色三麥,TPEx,觀光餐旅,TW0007757007,2025/10/20
7767,仁大資訊,TPEx,資訊服務業,TW0007767006,2025/12/10
7770,君曜,TPEx,半導體業,TW0007770000,2025/12/10
7777,能率亞洲,TPEx,其他業,TW0007777005,2025/12/22
7782,光速火箭,TPEx,居家生活,TW0007782005,2025/10/28
7792,安葆,TPEx,其他電子業,TW0007792004,2026/01/28
7805,威聯通,TPEx,數位雲端,TW0007805004,2025/12/22
7810,捷創科技,TPEx,半導體業,TW0007810004,2025/12/23
8024,佑華,TPEx,半導體業,TW0008024001,2006/09/25
8027,鈦昇,TPEx,電機機械,TW0008027004,2015/06/09
8032,光菱,TPEx,電子通路業,TW0008032004,2003/10/02
8034,榮群,TPEx,通信網路業,TW0008034000,2004/05/06
8038,長園科,TPEx,電子零組件業,TW0008038001,2013/11/21
8040,九暘,TPEx,半導體業,TW0008040007,2007/04/30
8042,金山電,TPEx,電子零組件業,TW0008042003,2004/03/22
8043,蜜望實,TPEx,電子零組件業,TW0008043001,2003/10/24
8044,網家,TPEx,數位雲端,TW0008044009,2005/01/24
8047,星雲,TPEx,其他電子業,TW0008047002,2004/02/09
8048,德勝,TPEx,通信網路業,TW0008048000,2009/09/08
8049,晶采,TPEx,光電業,TW0008049008,2004/02/02
8050,廣積,TPEx,電腦及週邊設備業,TW0008050006,2003/10/24
8054,安國,TPEx,半導體業,TW0008054008,2004/11/08
8059,凱碩,TPEx,通信網路業,TW0008059007,2010/03/16
8064,東捷,TPEx,光電業,TW0008064007,2006/09/25
8066,來思達,TPEx,居家生活,TW0008066002,2004/12/24
8067,志旭,TPEx,電子通路業,TW0008067000,2004/04/23
8068,全達,TPEx,電子通路業,TW0008068008,2004/03/25
8069,元太,TPEx,光電業,TW0008069006,2004/03/30
8071,能率網通,TPEx,電子零組件業,TW0008071002,2003/12/29
8074,鉅橡,TPEx,電子零組件業,TW0008074006,2004/01/27
8076,伍豐,TPEx,電腦及週邊設備業,TW0008076001,2003/12/15
8077,洛碁,TPEx,觀光餐旅,TW0008077009,2004/12/06
8080,泰霖,TPEx,建材營造業,TW0008080003,2021/04/07
8083,瑞穎,TPEx,電機機械,TW0008083007,2004/09/23
8084,巨虹,TPEx,電子通路業,TW0008084005,2004/03/08
8085,福華,TPEx,其他電子業,TW0008085002,2004/03/01
8086,宏捷科,TPEx,半導體業,TW0008086000,2009/06/01
8087,麗升能源,TPEx,綠能環保,TW0008087008,2004/02/25
8088,品安,TPEx,半導體業,TW0008088006,2004/02/27
8089,康全電訊,TPEx,通信網路業,TW0008089004,2020/09/23
8091,翔名,TPEx,半導體業,TW0008091000,2004/06/24
8092,建暐,TPEx,其他電子業,TW0008092008,2004/02/02
8093,保銳,TPEx,電子零組件業,TW0008093006,2004/12/31
8096,擎亞,TPEx,電子通路業,TW0008096009,2004/07/15
8097,常珵,TPEx,通信網路業,TW0008097007,2004/03/01
8099,大世科,TPEx,資訊服務業,TW0008099003,2004/03/29
8102,傑霖科技,TPEx,半導體業,TW0008102005,2025/12/22
8107,大億金茂,TPEx,電機機械,TW0008107004,2005/11/15
8109,博大,TPEx,電子零組件業,TW0008109000,2005/03/22
8111,立碁,TPEx,光電業,TW0008111006,2004/02/09
8121,越峰,TPEx,電子零組件業,TW0008121005,2005/02/17
8147,正淩,TPEx,電子零組件業,TW0008147000,2013/04/30
8155,博智,TPEx,電子零組件業,TW0008155003,2012/12/18
8171,天宇,TPEx,綠能環保,TW0008171000,2011/12/19
8176,智捷,TPEx,通信網路業,TW0008176009,2013/06/25
8182,加高,TPEx,電子零組件業,TW0008182007,2006/05/25
8183,精星,TPEx,其他電子業,TW0008183005,2005/03/30
