"date","code","score","allocation","capital"
"2026-02-10","2330","62","31366","300000"
"2026-02-10","2317","61","30860","300000"
"2026-02-10","2454","62","31366","300000"
"2026-02-10","2603","55","27825","300000"
"2026-02-10","2609","54","27319","300000"
"2026-02-10","2615","54","27319","300000"
