"date","code","name","sector","change_percent","total_score","liquidity","volatility","momentum","warnings"
"2025-11-26","2603","2603","unknown","0.831","73","0","0","-4.2105",""
"2025-11-26","2609","2609","unknown","2.3392","46","0","0","-7.0796",""
"2025-11-26","2615","2615","unknown","5.3503","77","0","0","4.0252",""
"2025-11-27","2317","2317","unknown","1.7621","69","0","0","-11.8321",""
"2025-11-27","2330","2330","unknown","-0.3472","73","0","0","-4.6512",""
"2025-11-27","2454","2454","unknown","3.0769","51","0","0","2.2901",""
"2025-11-27","2603","2603","unknown","-0.8242","71","0","0","-7.9082",""
"2025-11-27","2609","2609","unknown","-0.7619","43","0","0","-13.1667",""
"2025-11-27","2615","2615","unknown","-1.5719","72","0","0","-6.865",""
"2025-11-28","2317","2317","unknown","-2.381","69","0","0","-12.4272",""
"2025-11-28","2330","2330","unknown","0.3484","73","0","0","-4",""
"2025-11-28","2454","2454","unknown","4.1045","53","0","0","6.4885",""
"2025-11-28","2603","2603","unknown","-0.554","46","0","0","-7.2351",""
"2025-11-28","2609","2609","unknown","-0.1919","45","0","0","-9.5652",""
"2025-11-28","2615","2615","unknown","-0.9828","74","0","0","-1.827",""
"2025-12-01","2317","2317","unknown","-1.5521","69","0","0","-11.7296",""
"2025-12-01","2330","2330","unknown","-2.0833","72","0","0","-6.6225",""
"2025-12-01","2454","2454","unknown","3.5842","56","0","0","11.1538",""
"2025-12-01","2603","2603","unknown","1.1142","47","0","0","-5.9585",""
"2025-12-01","2609","2609","unknown","0.7692","46","0","0","-7.2566",""
"2025-12-01","2615","2615","unknown","0.7444","75","0","0","-0.9756",""
"2025-12-02","2317","2317","unknown","0","70","0","0","-9.0164",""
"2025-12-02","2330","2330","unknown","1.4184","73","0","0","-4.9834",""
"2025-12-02","2454","2454","unknown","-2.0761","54","0","0","7.6046",""
"2025-12-02","2603","2603","unknown","0","48","0","0","-3.4574",""
"2025-12-02","2609","2609","unknown","-0.7634","47","0","0","-5.7971",""
"2025-12-02","2615","2615","unknown","-0.4926","74","0","0","-1.5834",""
"2025-12-03","2317","2317","unknown","2.2523","71","0","0","-8.0972",""
"2025-12-03","2330","2330","unknown","1.3986","75","0","0","-0.6849",""
"2025-12-03","2454","2454","unknown","-1.0601","53","0","0","5.2632",""
"2025-12-03","2603","2603","unknown","0.551","49","0","0","-1.6173",""
"2025-12-03","2609","2609","unknown","-0.1923","48","0","0","-4.7706",""
"2025-12-03","2615","2615","unknown","-0.3713","75","0","0","-0.2478",""
"2025-12-04","2317","2317","unknown","0.6608","71","0","0","-7.8629",""
"2025-12-04","2330","2330","unknown","-0.3448","74","0","0","-1.3652",""
"2025-12-04","2454","2454","unknown","0.3571","54","0","0","8.9147",""
"2025-12-04","2603","2603","unknown","1.0959","49","0","0","-2.122",""
"2025-12-04","2609","2609","unknown","1.1561","48","0","0","-4.5455",""
"2025-12-04","2615","2615","unknown","0","74","0","0","-2.8951",""
"2025-12-05","2317","2317","unknown","1.0941","72","0","0","-5.3279",""
"2025-12-05","2330","2330","unknown","1.0381","75","0","0","0",""
