entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,net_cashflow_exit,return_pct,exit_reason
2023-12-08,2024-04-22,570.285,741.629,1751,300023.344,1292854.111848,0.30045328213086453,trend_break
2024-04-24,2024-07-22,783.3915,938.5305,1647,255513.933,1539689.457762,0.19803508207582055,trailing_stop_low
2024-10-01,2024-11-21,972.486,1009.495,1580,58474.22,1588916.24124,0.03805607484323681,trend_break
2024-12-02,2024-12-20,1035.5175,1034.4825,1532,-1585.62,1578057.12267,-0.0009995002498749406,trend_break
2025-01-14,2025-02-14,1090.545,1059.47,1444,-44872.3,1524171.112765,-0.02849492684850219,trend_break
2025-02-18,2025-02-20,1100.55,1079.46,1382,-29146.38,1486256.088911,-0.019163145699877315,trend_break
2025-08-21,2025-11-21,1150.575,1384.3075,1289,301281.1925,1777528.028761,0.20314408013384622,trend_break
2025-11-26,2025-12-01,1440.72,1409.295,1232,-38715.6,1728600.188107,-0.02181201066133598,trend_break
