rsi_period,buy_rsi,sell_rsi,cooldown_bars,trend_mode,sma_fast,sma_slow,trade_count,win_rate_pct,total_return_pct,max_drawdown_pct,sharpe,report
14,45,60,0,sma_cross,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c0_tsma_cross.md
14,45,60,0,close_above_slow,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c0_tclose_above_slow.md
14,45,60,2,both,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c2_tboth.md
14,45,60,2,sma_cross,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c2_tsma_cross.md
14,45,60,2,close_above_slow,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c2_tclose_above_slow.md
14,45,60,3,both,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c3_tboth.md
14,45,60,3,sma_cross,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c3_tsma_cross.md
14,45,60,3,close_above_slow,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c3_tclose_above_slow.md
14,45,60,5,both,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c5_tboth.md
14,45,60,5,sma_cross,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c5_tsma_cross.md
14,45,60,5,close_above_slow,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s60_c5_tclose_above_slow.md
14,45,65,0,both,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c0_tboth.md
14,45,65,0,sma_cross,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c0_tsma_cross.md
14,45,65,0,close_above_slow,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c0_tclose_above_slow.md
14,45,65,2,both,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c2_tboth.md
14,45,65,2,sma_cross,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c2_tsma_cross.md
14,45,65,2,close_above_slow,50,200,3,0.0,-7.23,-8.36,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c2_tclose_above_slow.md
14,45,65,3,both,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c3_tboth.md
14,45,65,3,sma_cross,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c3_tsma_cross.md
14,45,65,3,close_above_slow,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c3_tclose_above_slow.md
14,45,65,5,both,50,200,2,0.0,-6.35,-7.5,-0.81,reports/scan_tmp/report_2330_p14_b45_s65_c5_tboth.md
