entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,net_cashflow_exit,return_pct,exit_reason
2024-12-23,2025-01-08,1080.0,1105.0,924,23100.0,1016501.9865,0.023148148148148147,signal
2025-01-14,2025-02-03,1090.0,1070.0,931,-18620.0,991761.9477499999,-0.01834862385321101,signal
2025-02-18,2025-02-20,1100.0,1080.0,901,-18020.0,968774.121,-0.01818181818181818,trend_break
2025-08-21,2025-11-05,1150.0,1460.0,841,260710.0,1222426.7195,0.26956521739130435,signal
2025-11-17,2025-11-21,1445.0,1385.0,845,-50700.0,1165146.311875,-0.04152249134948097,trend_break
2025-11-26,2025-12-01,1440.0,1410.0,808,-24240.0,1134238.686,-0.020833333333333332,trend_break
2025-12-22,2026-02-05,1465.0,1765.0,773,231900.0,1358307.773375,0.20477815699658702,signal
