"date","close"
"2025-08-13","1200"
"2025-08-14","1175"
"2025-08-15","1180"
"2025-08-18","1180"
"2025-08-19","1185"
"2025-08-20","1135"
"2025-08-21","1150"
"2025-08-22","1135"
"2025-08-25","1170"
"2025-08-26","1175"
"2025-08-27","1190"
"2025-08-28","1160"
"2025-08-29","1160"
"2025-09-01","1165"
"2025-09-02","1160"
"2025-09-03","1160"
"2025-09-04","1160"
"2025-09-05","1180"
"2025-09-08","1180"
"2025-09-09","1200"
"2025-09-10","1225"
"2025-09-11","1240"
"2025-09-12","1260"
"2025-09-15","1255"
"2025-09-16","1280"
"2025-09-17","1265"
"2025-09-18","1285"
"2025-09-19","1265"
"2025-09-22","1295"
"2025-09-23","1340"
"2025-09-24","1340"
"2025-09-25","1320"
"2025-09-26","1300"
"2025-09-30","1305"
"2025-10-01","1325"
"2025-10-02","1365"
"2025-10-03","1400"
"2025-10-07","1435"
"2025-10-08","1415"
"2025-10-09","1440"
"2025-10-13","1415"
"2025-10-14","1425"
"2025-10-15","1465"
"2025-10-16","1485"
"2025-10-17","1450"
"2025-10-20","1480"
"2025-10-21","1480"
"2025-10-22","1460"
"2025-10-23","1450"
"2025-10-27","1480"
"2025-10-28","1475"
"2025-10-29","1505"
"2025-10-30","1505"
"2025-10-31","1500"
"2025-11-03","1510"
"2025-11-04","1505"
"2025-11-05","1460"
"2025-11-06","1465"
"2025-11-07","1460"
"2025-11-10","1475"
"2025-11-11","1465"
"2025-11-12","1475"
"2025-11-13","1460"
"2025-11-14","1430"
"2025-11-17","1445"
"2025-11-18","1405"
"2025-11-19","1395"
"2025-11-20","1455"
"2025-11-21","1385"
"2025-11-24","1375"
"2025-11-25","1415"
"2025-11-26","1440"
"2025-11-27","1435"
"2025-11-28","1440"
"2025-12-01","1410"
"2025-12-02","1430"
"2025-12-03","1450"
"2025-12-04","1445"
"2025-12-05","1460"
"2025-12-08","1495"
"2025-12-09","1480"
"2025-12-10","1505"
"2025-12-11","1470"
"2025-12-12","1480"
"2025-12-15","1450"
"2025-12-16","1435"
"2025-12-17","1430"
"2025-12-18","1430"
"2025-12-19","1430"
"2025-12-22","1465"
"2025-12-23","1490"
"2025-12-24","1495"
"2025-12-26","1510"
"2025-12-29","1530"
"2025-12-30","1520"
"2025-12-31","1550"
"2026-01-02","1585"
"2026-01-05","1670"
"2026-01-06","1705"
"2026-01-07","1675"
"2026-01-08","1685"
"2026-01-09","1680"
"2026-01-12","1690"
"2026-01-13","1710"
"2026-01-14","1710"
"2026-01-15","1690"
"2026-01-16","1740"
"2026-01-19","1760"
"2026-01-20","1775"
"2026-01-21","1740"
"2026-01-22","1760"
"2026-01-23","1770"
"2026-01-26","1755"
"2026-01-27","1780"
"2026-01-28","1820"
"2026-01-29","1805"
"2026-01-30","1775"
"2026-02-02","1765"
"2026-02-03","1800"
"2026-02-04","1785"
"2026-02-05","1765"
"2026-02-06","1780"
"2026-02-09","1815"
"2026-02-10","1880"
"2026-02-11","1915"
