"date","close"
"2025-08-13","198.5"
"2025-08-14","199.5"
"2025-08-15","207"
"2025-08-18","210"
"2025-08-19","208"
"2025-08-20","200.5"
"2025-08-21","206"
"2025-08-22","202.5"
"2025-08-25","207.5"
"2025-08-26","209"
"2025-08-27","208"
"2025-08-28","206"
"2025-08-29","203.5"
"2025-09-01","198.5"
"2025-09-02","198.5"
"2025-09-03","200.5"
"2025-09-04","203"
"2025-09-05","205"
"2025-09-08","203.5"
"2025-09-09","207.5"
"2025-09-10","210"
"2025-09-11","214.5"
"2025-09-12","217.5"
"2025-09-15","216"
"2025-09-16","215.5"
"2025-09-17","212"
"2025-09-18","215"
"2025-09-19","214"
"2025-09-22","216"
"2025-09-23","221"
"2025-09-24","223"
"2025-09-25","230"
"2025-09-26","219.5"
"2025-09-30","216"
"2025-10-01","219"
"2025-10-02","225.5"
"2025-10-03","226.5"
"2025-10-07","228.5"
"2025-10-08","225"
"2025-10-09","221.5"
"2025-10-13","213"
"2025-10-14","206"
"2025-10-15","206.5"
"2025-10-16","223"
"2025-10-17","226.5"
"2025-10-20","238.5"
"2025-10-21","239"
"2025-10-22","242.5"
"2025-10-23","239"
"2025-10-27","246.5"
"2025-10-28","250"
"2025-10-29","260"
"2025-10-30","262"
"2025-10-31","257.5"
"2025-11-03","251.5"
"2025-11-04","244"
"2025-11-05","247"
"2025-11-06","248"
"2025-11-07","244"
"2025-11-10","249.5"
"2025-11-11","246.5"
"2025-11-12","251"
"2025-11-13","252"
"2025-11-14","241"
"2025-11-17","236"
"2025-11-18","230"
"2025-11-19","229"
"2025-11-20","236.5"
"2025-11-21","225"
"2025-11-24","220"
"2025-11-25","219"
"2025-11-26","227"
"2025-11-27","231"
"2025-11-28","225.5"
"2025-12-01","222"
"2025-12-02","222"
"2025-12-03","227"
"2025-12-04","228.5"
"2025-12-05","231"
"2025-12-08","232"
"2025-12-09","235"
"2025-12-10","233.5"
"2025-12-11","226"
"2025-12-12","227"
"2025-12-15","221.5"
"2025-12-16","218"
"2025-12-17","216.5"
"2025-12-18","216"
"2025-12-19","221.5"
"2025-12-22","224"
"2025-12-23","224"
"2025-12-24","224"
"2025-12-26","225.5"
"2025-12-29","231"
"2025-12-30","228"
"2025-12-31","230.5"
"2026-01-02","232"
"2026-01-05","234.5"
"2026-01-06","236"
"2026-01-07","238.5"
"2026-01-08","229.5"
"2026-01-09","230.5"
"2026-01-12","228.5"
"2026-01-13","226.5"
"2026-01-14","234.5"
"2026-01-15","233.5"
"2026-01-16","234.5"
"2026-01-19","229.5"
"2026-01-20","223.5"
"2026-01-21","219"
"2026-01-22","223.5"
"2026-01-23","221.5"
"2026-01-26","224"
"2026-01-27","225.5"
"2026-01-28","225.5"
"2026-01-29","224"
"2026-01-30","220.5"
"2026-02-02","214.5"
"2026-02-03","216.5"
"2026-02-04","219"
"2026-02-05","215.5"
"2026-02-06","215"
"2026-02-09","218.5"
"2026-02-10","221"
"2026-02-11","227"
