"date","close"
"2025-08-13","1370"
"2025-08-14","1390"
"2025-08-15","1370"
"2025-08-18","1410"
"2025-08-19","1390"
"2025-08-20","1355"
"2025-08-21","1365"
"2025-08-22","1365"
"2025-08-25","1410"
"2025-08-26","1400"
"2025-08-27","1400"
"2025-08-28","1385"
"2025-08-29","1370"
"2025-09-01","1360"
"2025-09-02","1360"
"2025-09-03","1395"
"2025-09-04","1385"
"2025-09-05","1435"
"2025-09-08","1430"
"2025-09-09","1510"
"2025-09-10","1490"
"2025-09-11","1480"
"2025-09-12","1485"
"2025-09-15","1485"
"2025-09-16","1535"
"2025-09-17","1510"
"2025-09-18","1510"
"2025-09-19","1440"
"2025-09-22","1405"
"2025-09-23","1375"
"2025-09-24","1330"
"2025-09-25","1345"
"2025-09-26","1310"
"2025-09-30","1315"
"2025-10-01","1285"
"2025-10-02","1280"
"2025-10-03","1320"
"2025-10-07","1325"
"2025-10-08","1335"
"2025-10-09","1345"
"2025-10-13","1315"
"2025-10-14","1305"
"2025-10-15","1315"
"2025-10-16","1330"
"2025-10-17","1330"
"2025-10-20","1340"
"2025-10-21","1340"
"2025-10-22","1330"
"2025-10-23","1295"
"2025-10-27","1335"
"2025-10-28","1315"
"2025-10-29","1300"
"2025-10-30","1310"
"2025-10-31","1310"
"2025-11-03","1300"
"2025-11-04","1315"
"2025-11-05","1330"
"2025-11-06","1290"
"2025-11-07","1260"
"2025-11-10","1250"
"2025-11-11","1240"
"2025-11-12","1245"
"2025-11-13","1245"
"2025-11-14","1230"
"2025-11-17","1230"
"2025-11-18","1170"
"2025-11-19","1160"
"2025-11-20","1185"
"2025-11-21","1145"
"2025-11-24","1150"
"2025-11-25","1185"
"2025-11-26","1300"
"2025-11-27","1340"
"2025-11-28","1395"
"2025-12-01","1445"
"2025-12-02","1415"
"2025-12-03","1400"
"2025-12-04","1405"
"2025-12-05","1425"
"2025-12-08","1440"
"2025-12-09","1420"
"2025-12-10","1460"
"2025-12-11","1395"
"2025-12-12","1405"
"2025-12-15","1420"
"2025-12-16","1420"
"2025-12-17","1425"
"2025-12-18","1420"
"2025-12-19","1410"
"2025-12-22","1400"
"2025-12-23","1390"
"2025-12-24","1380"
"2025-12-26","1385"
"2025-12-29","1420"
"2025-12-30","1420"
"2025-12-31","1430"
"2026-01-02","1470"
"2026-01-05","1525"
"2026-01-06","1485"
"2026-01-07","1490"
"2026-01-08","1445"
"2026-01-09","1420"
"2026-01-12","1445"
"2026-01-13","1485"
"2026-01-14","1500"
"2026-01-15","1490"
"2026-01-16","1505"
"2026-01-19","1485"
"2026-01-20","1485"
"2026-01-21","1465"
"2026-01-22","1485"
"2026-01-23","1630"
"2026-01-26","1770"
"2026-01-27","1775"
"2026-01-28","1780"
"2026-01-29","1780"
"2026-01-30","1760"
"2026-02-02","1705"
"2026-02-03","1795"
"2026-02-04","1800"
"2026-02-05","1770"
"2026-02-06","1710"
"2026-02-09","1830"
"2026-02-10","1845"
"2026-02-11","1855"
